image,match,width,height,channels,sha256,bytes,non_zero_cells,dominant_label,labels_present
GTvsLSG_image_0.jpg,GTvsLSG,800,600,3,a1a0840e8d88ea21962a0f5c1166f17ef55abfa30ea00850a099117f73c0da2d,101754,3,5,5
GTvsLSG_image_1.jpg,GTvsLSG,800,600,3,8322f917b62165dd52bb7dfa39be06262866b075dd9b8a9f2fdc273fbeba8284,96728,4,5,5
GTvsLSG_image_10.jpg,GTvsLSG,800,600,3,da037f7a8acc1e5991b86df2b788052535c5957b8287b5331e1b1e3669de3035,110613,6,5,"3,5"
GTvsLSG_image_11.jpg,GTvsLSG,800,600,3,d018898b7986edd6251b2c6e450e4bdfe63a135565ba97c550dc76ba6475213b,106776,4,5,5
GTvsLSG_image_12.jpg,GTvsLSG,800,600,3,87a0e4a8121eb0aa784924309badbc2ff49cf4e191b677c4056aec9a5a13ed4c,113264,7,5,5
GTvsLSG_image_13.jpg,GTvsLSG,800,600,3,86804f4e7403b3c86a262f9bb7b98453c8cb436998c0420d73653547e63bc22c,109258,5,5,5
GTvsLSG_image_14.jpg,GTvsLSG,800,600,3,3361022b5a539cf88f6e3f0360c33c7caf6e162f141eeda5df101120d1382008,113822,4,5,5
GTvsLSG_image_15.jpg,GTvsLSG,800,600,3,0dd9be6bb9f12df8da7575c5b32be46f1e6c296144504bd3cb094965884ff45c,100908,3,3,3
GTvsLSG_image_152.jpg,GTvsLSG,800,600,3,065484ddd8f66ee9b3a38c2030fcdf57aebab7f205af5d37171828f9254cadf3,163031,13,5,5
GTvsLSG_image_16.jpg,GTvsLSG,800,600,3,0880858b15702001b457dc620207a75a1536e274ee9fc02e1bd1f65b50aaba62,100250,3,3,3
GTvsLSG_image_165.jpg,GTvsLSG,800,600,3,ac819a4a18247ad5900fd1dbdb8bb53b5dd53207ba3412a4d2471eeaa94c61a2,96238,3,5,5
GTvsLSG_image_17.jpg,GTvsLSG,800,600,3,0f25d0ac650a20bb48a5cf4dbba8b1df2fbbb60bcad6d77f2121de5f707717a1,98460,22,5,5
GTvsLSG_image_178.jpg,GTvsLSG,800,600,3,eccf0eac98d5c000298627c8dcc52d03af6303374d3a2b34f6525e3734e64c04,117548,6,3,"3,5"
GTvsLSG_image_18.jpg,GTvsLSG,800,600,3,84e64c750ecad3d0cfa3d3407d7d2fdd13990416e8ee890f0a5d9df0fa57abd7,113591,9,3,3
GTvsLSG_image_19.jpg,GTvsLSG,800,600,3,0f4b646a0185c9cf5859b3b979bbca93c7127a88c8e7fd108212c410e1ef425f,86329,8,3,3
GTvsLSG_image_190.jpg,GTvsLSG,800,600,3,a14d9342ecbf7291e00120b06d0c8a84da266710eb9da0d726ee18636a5c24e8,90804,5,5,5
GTvsLSG_image_191.jpg,GTvsLSG,800,600,3,1f592a52e3bfc73eee2139f4263bb6e77452785bc7f5ed682e6299273a7adf43,83168,6,5,5
GTvsLSG_image_193.jpg,GTvsLSG,800,600,3,4b4f6de2c540d0c26e8d32ae021634fc600bfc522d9352a6c0eb19e04326c8c2,138041,28,3,"3,5"
GTvsLSG_image_194.jpg,GTvsLSG,800,600,3,6ae7d2337727032f3ef1761c9086ab30a7fd44baae4e157760a10f4379da6488,108770,6,3,"3,5"
GTvsLSG_image_195.jpg,GTvsLSG,800,600,3,db51f3c0ea5b2aa9cd70a728045122e2ba030d391ef92120b090007e02d2b406,93515,4,3,3
GTvsLSG_image_197.jpg,GTvsLSG,800,600,3,ec9eb566509dd932d618c798a7e7027c178fe525248129ed0a2f211db86a8c6c,94341,8,5,5
GTvsLSG_image_2.jpg,GTvsLSG,800,600,3,6fa7007eb25e3d94b41a6bf6d231f894834b9d4ade3f4192b1903727166534e6,116319,8,5,5
GTvsLSG_image_20.jpg,GTvsLSG,800,600,3,c6e8e43008fc7a219005329db62001276254badbcbd8bfbd0ed13ad1b051b868,103060,3,3,3
GTvsLSG_image_21.jpg,GTvsLSG,800,600,3,23ea29eafc3d6cf6545eeea5793c494bc77288510213725fee947eafab9e6fc8,152287,16,3,"3,5"
GTvsLSG_image_231.jpg,GTvsLSG,800,600,3,ae7008a753a16e1b765fd1759ed5af1a991902d5b392b9e8c3326ab8a80d2383,97591,7,3,3
GTvsLSG_image_24.jpg,GTvsLSG,800,600,3,d3395c7eec849db2786a1bb33d44a5d69f9f8c78c1d65525421d4627c2c7322e,115218,12,3,3
GTvsLSG_image_249.jpg,GTvsLSG,800,600,3,4c60ada2da6e810a2f465a99143736bc260207462637bb5b8940d347d04cccff,116057,12,3,3
GTvsLSG_image_25.jpg,GTvsLSG,800,600,3,bf02d51361865828cc75a9e9710cf6c3505849fcc33b2d73230dce9d85c679ca,120433,11,5,5
GTvsLSG_image_269.jpg,GTvsLSG,800,600,3,40585978f4a26dfb44a521492defe51d4486a35543960f1c419915fac5b445f7,102568,20,3,3
GTvsLSG_image_271.jpg,GTvsLSG,800,600,3,357d253a193c9617301e67bd5272ada56d933f6e4b5fe7a2c1aa95560f5075c2,168051,20,3,"3,5"
GTvsLSG_image_272.jpg,GTvsLSG,800,600,3,d6b0381b73aa06c4712d0054d7c0398f3f0857837905ea2c03e92feab97a2396,88620,20,3,3
GTvsLSG_image_277.jpg,GTvsLSG,800,600,3,7080589684a6bb730a55bf3635c321acd3e6a865a64a703a10998b809e0492ae,99130,2,3,3
GTvsLSG_image_278.jpg,GTvsLSG,800,600,3,cf742ff76323a0825c9b678447c7822797c1be61f6a5ae2f8e1f99fcb0e14caf,166454,14,5,"3,5"
GTvsLSG_image_28.jpg,GTvsLSG,800,600,3,a07bd05411dad532ab8df91afa1764283000320a968e23ab21633d75fc40b0eb,136402,14,3,"3,5"
GTvsLSG_image_281.jpg,GTvsLSG,800,600,3,dc620bf86fc7321daa1e8cdc9f84759a85c408b0544aa5425c25a095bef0fb46,68619,10,3,3
GTvsLSG_image_285.jpg,GTvsLSG,800,600,3,b7a0de52d33552c9b26ff9a5758c56bca1c9a6bb69b84339993370cd10dd8f60,105858,4,3,3
GTvsLSG_image_29.jpg,GTvsLSG,800,600,3,253cd699918285b0a51b23dc8b02b1eb3aff4dffe15bbc57241992a78eea539e,107991,14,5,5
